Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency),Base Plan ID,Offer ID,Group ID,First USD 1M Eligible,Service Fee %,Fee Description,Promotion ID
GPA.3348-5926-8033-92040,"Sep 1, 2023",10:00:17 AM PDT,,Charge,,JAMMATES,com.adup.jammates,0,,r9q,GR,,19400,EUR,10.48,1424.9,KRW,14933,,,,,,,
GPA.3348-5926-8033-92040,"Sep 1, 2023",10:00:17 AM PDT,,Google fee,,JAMMATES,com.adup.jammates,0,,r9q,GR,,19400,EUR,-3.14,1424.9,KRW,-4474,,,,,30,,
GPA.3348-5926-8033-92040,"Sep 1, 2023",10:20:33 AM PDT,,Charge refund,Full,JAMMATES,com.adup.jammates,0,,r9q,GR,,19400,EUR,-10.48,1424.9,KRW,-14933,,,,,,,
GPA.3348-5926-8033-92040,"Sep 1, 2023",10:20:33 AM PDT,,Google fee refund,Full,JAMMATES,com.adup.jammates,0,,r9q,GR,,19400,EUR,3.14,1424.9,KRW,4474,,,,,30,,
GPA.3341-7964-4601-85317,"Sep 1, 2023",12:21:38 PM PDT,,Charge,,JAMMATES,com.adup.jammates,0,,a34x,KR,,5623,KRW,16364,1,KRW,16364,,,,,,,
GPA.3341-7964-4601-85317,"Sep 1, 2023",12:21:38 PM PDT,,Google fee,,JAMMATES,com.adup.jammates,0,,a34x,KR,,5623,KRW,-4909,1,KRW,-4909,,,,,30,,
GPA.3341-7964-4601-85317,"Sep 1, 2023",12:21:38 PM PDT,Third-party Tax,Tax,,JAMMATES,com.adup.jammates,0,,a34x,KR,,5623,KRW,1636,1,KRW,1636,,,,,,,
GPA.3372-9690-5245-71742,"Sep 2, 2023",6:03:31 PM PDT,,Charge,,JAMMATES,com.adup.jammates,0,,g0q,KR,,51450,KRW,16364,1,KRW,16364,,,,,,,
GPA.3372-9690-5245-71742,"Sep 2, 2023",6:03:31 PM PDT,,Google fee,,JAMMATES,com.adup.jammates,0,,g0q,KR,,51450,KRW,-4909,1,KRW,-4909,,,,,30,,
GPA.3372-9690-5245-71742,"Sep 2, 2023",6:03:31 PM PDT,Third-party Tax,Tax,,JAMMATES,com.adup.jammates,0,,g0q,KR,,51450,KRW,1636,1,KRW,1636,,,,,,,
GPA.3360-6457-3629-70345,"Sep 3, 2023",4:43:46 AM PDT,,Charge,,JAMMATES,com.adup.jammates,0,,OPD4A1L1,TH,,30000,THB,467.29,37.577,KRW,17559,,,,,,,
GPA.3360-6457-3629-70345,"Sep 3, 2023",4:43:46 AM PDT,,Google fee,,JAMMATES,com.adup.jammates,0,,OPD4A1L1,TH,,30000,THB,-140.19,37.577,KRW,-5268,,,,,30,,
GPA.3346-5215-7421-72692,"Sep 4, 2023",11:56:00 PM PDT,,Charge,,JAMMATES,com.adup.jammates,0,,x1q,US,CA,92084,USD,15.99,1324.1,KRW,21172,,,,,,,
GPA.3346-5215-7421-72692,"Sep 4, 2023",11:56:00 PM PDT,,Google fee,,JAMMATES,com.adup.jammates,0,,x1q,US,CA,92084,USD,-4.8,1324.1,KRW,-6356,,,,,30,,
GPA.3336-0627-4925-34426,"Sep 6, 2023",12:43:22 AM PDT,,Charge,,Funk Popular (JAMMATES),com.adup.jammates,1,funk_popular_june,gts7fewifi,KR,,31181,KRW,4000,1,KRW,4000,,,,,,,
GPA.3336-0627-4925-34426,"Sep 6, 2023",12:43:22 AM PDT,,Google fee,,Funk Popular (JAMMATES),com.adup.jammates,1,funk_popular_june,gts7fewifi,KR,,31181,KRW,-1200,1,KRW,-1200,,,,,30,,
GPA.3336-0627-4925-34426,"Sep 6, 2023",12:43:22 AM PDT,Third-party Tax,Tax,,Funk Popular (JAMMATES),com.adup.jammates,1,funk_popular_june,gts7fewifi,KR,,31181,KRW,400,1,KRW,400,,,,,,,
GPA.3313-4447-8608-35089,"Sep 6, 2023",1:47:02 AM PDT,,Charge,,Funk Popular (JAMMATES),com.adup.jammates,1,funk_popular_june,a52xq,GB,,ME5 9HE,GBP,2.41,1672.2,KRW,4030,,,,,,,
GPA.3313-4447-8608-35089,"Sep 6, 2023",1:47:02 AM PDT,,Google fee,,Funk Popular (JAMMATES),com.adup.jammates,1,funk_popular_june,a52xq,GB,,ME5 9HE,GBP,-0.72,1672.2,KRW,-1204,,,,,30,,
GPA.3332-2570-1896-05732,"Sep 6, 2023",9:05:11 AM PDT,,Charge,,JAMMATES,com.adup.jammates,0,,haydn,PL,,30-237,PLN,49.59,312.48,KRW,15496,,,,,,,
GPA.3332-2570-1896-05732,"Sep 6, 2023",9:05:11 AM PDT,,Google fee,,JAMMATES,com.adup.jammates,0,,haydn,PL,,30-237,PLN,-14.88,312.48,KRW,-4650,,,,,30,,
GPA.3387-4414-4548-17671,"Sep 6, 2023",9:15:31 AM PDT,,Charge,,Major Jazz Blues 12 key (JAMMATES),com.adup.jammates,1,cyj_major_blues_12key,haydn,PL,,30-237,PLN,21.13,312.48,KRW,6603,,,,,,,
GPA.3387-4414-4548-17671,"Sep 6, 2023",9:15:31 AM PDT,,Google fee,,Major Jazz Blues 12 key (JAMMATES),com.adup.jammates,1,cyj_major_blues_12key,haydn,PL,,30-237,PLN,-6.34,312.48,KRW,-1981,,,,,30,,
GPA.3357-7335-8060-10502,"Sep 6, 2023",1:31:57 PM PDT,,Charge,,JAMMATES,com.adup.jammates,0,,a42xq,NO,,281,NOK,108,124.12,KRW,13405,,,,,,,
GPA.3357-7335-8060-10502,"Sep 6, 2023",1:31:57 PM PDT,,Google fee,,JAMMATES,com.adup.jammates,0,,a42xq,NO,,281,NOK,-32.4,124.12,KRW,-4021,,,,,30,,
GPA.3357-7335-8060-10502,"Sep 6, 2023",1:39:33 PM PDT,,Charge refund,Full,JAMMATES,com.adup.jammates,0,,a42xq,NO,,281,NOK,-108,124.12,KRW,-13405,,,,,,,
GPA.3357-7335-8060-10502,"Sep 6, 2023",1:39:33 PM PDT,,Google fee refund,Full,JAMMATES,com.adup.jammates,0,,a42xq,NO,,281,NOK,32.4,124.12,KRW,4021,,,,,30,,
GPA.3310-8169-9350-71409,"Sep 7, 2023",10:39:38 PM PDT,,Charge,,Swing ???-V-I-VI 12key (Long) (JAMMATES),com.adup.jammates,1,cyj_swing_2516_12key_long,d2x,KR,???????????????,404-837,KRW,6364,1,KRW,6364,,,,,,,
GPA.3310-8169-9350-71409,"Sep 7, 2023",10:39:38 PM PDT,,Google fee,,Swing ???-V-I-VI 12key (Long) (JAMMATES),com.adup.jammates,1,cyj_swing_2516_12key_long,d2x,KR,???????????????,404-837,KRW,-1909,1,KRW,-1909,,,,,30,,
GPA.3310-8169-9350-71409,"Sep 7, 2023",10:39:38 PM PDT,Third-party Tax,Tax,,Swing ???-V-I-VI 12key (Long) (JAMMATES),com.adup.jammates,1,cyj_swing_2516_12key_long,d2x,KR,???????????????,404-837,KRW,636,1,KRW,636,,,,,,,
GPA.3335-5424-3473-17618,"Sep 7, 2023",10:39:53 PM PDT,,Charge,,Swing ???-V-I-VI 12key (Short) (JAMMATES),com.adup.jammates,1,cyj_swing_2516_12key_short,d2x,KR,???????????????,404-837,KRW,6364,1,KRW,6364,,,,,,,
